id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31523141,"Cosy, comfy, entire house, 2 bedrooms and sleeps 6",942783,Jo,,Gilmerton South and the Murrays,55.88566,-3.08646,Entire home/apt,105,3,45,2022-08-06,1.06,1,259,12,
16612439,Old Manse luxury studio apartment near Edinburgh,69412742,Linda,,Gilmerton South and the Murrays,55.91416,-3.08876,Entire home/apt,85,3,32,2020-09-19,0.51,1,70,0,
30558669,Large Double Room in Shared Flat with Sea View,115744740,Calum,,Trinity East and The Dudleys,55.98065,-3.19888,Private room,46,2,87,2022-08-28,2.11,1,193,49,
53955119,Esk Lodge with River View at Kevock Vale Park,436998879,Valerie,,Gilmerton South and the Murrays,55.88203,-3.11861,Private room,140,1,0,,,3,9,0,
598920098272906041,George Avenue - 1 bed shared bathroom,452973676,Robbie,,Gilmerton South and the Murrays,55.87941,-3.15327,Private room,45,1,17,2022-08-25,3.42,1,356,17,
42501468,Private-access room and shower room near Edinburgh,165421613,Sheila,,Gilmerton South and the Murrays,55.87221,-3.15093,Private room,40,1,30,2022-09-02,1.41,1,123,28,
15420,Georgian Boutique Apt City Centre,60423,Charlotte,,"Old Town, Princes Street and Leith Street",55.95759,-3.18805,Entire home/apt,114,3,432,2022-09-09,3.04,1,225,77,
24288,"Cool central Loft, sleeps 4, 2 double bed+en-suite",46498,Gordon,,"Canongate, Southside and Dumbiedykes",55.94383,-3.18445,Entire home/apt,72,3,230,2022-07-17,1.58,1,79,2,
38628,Edinburgh Holiday Let,165635,Trish,,Joppa,55.94215,-3.0964,Entire home/apt,51,4,67,2022-09-02,0.67,2,187,10,
44009,A Warm Welcoming Home In the Charming Old Town :),192586,Puneet,,Marchmont West,55.938,-3.19468,Private room,71,2,45,2022-07-14,0.31,1,17,7,
44552,Double room - spacious Leith flat,195950,Shaun,,South Leith,55.96612,-3.17184,Private room,43,2,240,2022-09-02,1.63,1,43,36,
48645,Large sunny room on Royal Mile,221474,Mark,,"Canongate, Southside and Dumbiedykes",55.95072,-3.18305,Private room,114,1,912,2022-09-11,6.44,1,8,37,
51505,Superb City Centre Apartment,236828,Francois,,New Town West,55.9548,-3.19641,Entire home/apt,169,4,17,2022-09-01,0.12,15,21,9,
